,sumdid,company,lat,lon,geometry,index_right,zip,objectid,po_name,shape_stlength,shape_starea
2735,Powered5063144d-de0c-504e-89fd-c5213a55d210,Jump,36.1186,-86.8322,POINT (-86.8322 36.1186),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2739,Powered507d3067-25b6-53e2-9854-6845060dde9d,Jump,36.1164,-86.8208,POINT (-86.8208 36.1164),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2742,Powered509158,Lyft,36.122209,-86.820203,POINT (-86.820203 36.122209),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2743,Powered5091735,Spin,36.11461,-86.82609,POINT (-86.82609 36.11461),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2744,Powered50ac1ed0-4b7a-5111-bd91-790dc0ee1ec1,Jump,36.1194,-86.8154,POINT (-86.8154 36.1194),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2752,Powered511914,Lyft,36.107553,-86.815243,POINT (-86.815243 36.107553),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2756,Powered512435,Lyft,36.107528,-86.819142,POINT (-86.819142 36.107528),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2769,Powered515028,Lyft,36.125365,-86.815433,POINT (-86.815433 36.125365),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2771,Powered515844,Lyft,36.124001,-86.81647,POINT (-86.81647 36.124001),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2775,Powered516098,Lyft,36.116459,-86.815791,POINT (-86.815791 36.116459),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2776,Powered516339,Lyft,36.119612,-86.815139,POINT (-86.815139 36.119612),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2778,Powered516ZP,Bird,36.115284,-86.814185,POINT (-86.814185 36.115284),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2779,Powered517336,Lyft,36.120592,-86.815581,POINT (-86.815581 36.120592),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2781,Powered518084,Lyft,36.122336,-86.811689,POINT (-86.811689 36.122336),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2785,Powered518T3,Bird,36.123242,-86.819506,POINT (-86.819506 36.123242),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2787,Powered519550,Lyft,36.098595,-86.822636,POINT (-86.822636 36.098595),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2789,Powered51G5F,Bird,36.120632,-86.814762,POINT (-86.814762 36.120632),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2798,Powered5218322,Spin,36.126418,-86.815415,POINT (-86.815415 36.126418),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2799,Powered521864,Lyft,36.123529,-86.813459,POINT (-86.813459 36.123529),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2801,Powered522909,Lyft,36.12203,-86.821003,POINT (-86.821003 36.12203),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2805,Powered523737,Lyft,36.120044,-86.817086,POINT (-86.817086 36.120044),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2814,Powered525710,Lyft,36.124006,-86.813298,POINT (-86.813298 36.124006),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2817,Powered5265386e-f0ef-54d3-8fa6-cc49fc75340a,Jump,36.1108,-86.8428,POINT (-86.8428 36.1108),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2822,Powered528932,Lyft,36.101927,-86.820568,POINT (-86.820568 36.101927),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2826,Powered5299331,Spin,36.12265,-86.812306,POINT (-86.812306 36.12265),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2827,Powered52EU57UX7J7GO,Lime,36.123727,-86.818826,POINT (-86.818826 36.123727),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2832,Powered531057,Lyft,36.125022,-86.813247,POINT (-86.813247 36.125022),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2833,Powered5323721,Spin,36.1237,-86.815081,POINT (-86.815081 36.1237),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2837,Powered534185,Lyft,36.120608,-86.814512,POINT (-86.814512 36.120608),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2841,Powered535419,Lyft,36.122533,-86.823271,POINT (-86.823271 36.122533),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2842,Powered535797,Lyft,36.122304,-86.818732,POINT (-86.818732 36.122304),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2844,Powered536423,Lyft,36.121294,-86.81723,POINT (-86.81723 36.121294),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2851,Powered538607,Lyft,36.123337,-86.814523,POINT (-86.814523 36.123337),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2852,Powered538fc613-69f0-51ff-bb19-b3ee39740f5e,Jump,36.1087,-86.8242,POINT (-86.8242 36.1087),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2853,Powered539468,Lyft,36.120467,-86.828928,POINT (-86.828928 36.120467),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2856,Powered5399222,Spin,36.10338,-86.818484,POINT (-86.818484 36.10338),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2857,Powered53B51,Bird,36.12263,-86.815676,POINT (-86.815676 36.12263),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2858,Powered53bec266-f756-5ac3-bfb8-618a3cc15637,Jump,36.1156,-86.8172,POINT (-86.8172 36.1156),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
